0.5333334, State-gov,0.15711, Bachelors,0.9285714, Never-married, Adm-clerical, Not-in-family, White, Male,0.1543596,0,0.5, United-States, <=50K
0.9, Self-emp-not-inc,0.1758324, Bachelors,0.9285714, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,0.1625, United-States, <=50K
0.5, Private,0.6033788, HS-grad,0.6428571, Divorced, Handlers-cleaners, Not-in-family, White, Male,0,0,0.5, United-States, <=50K
1, Private,0.665006, 11th,0.5, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,0, United-States, <=50K
0.1666667, Private,1, Bachelors,0, Married-civ-spouse, Prof-specialty, Wife, Black, Female,0,0,0.5, Cuba, <=50K
0.4666667, Private,0.8260964, Masters,1, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,0.5, United-States, <=50K
0.8666667, Private,0.4242025, 9th,0.3571429, Married-spouse-absent, Other-service, Not-in-family, Black, Female,0,0,0.2, Jamaica, <=50K
0.9666666, Self-emp-not-inc,0.5839811, HS-grad,0.6428571, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,0.5625, United-States, >50K
0.2666667, Private,0.05458093, Masters,1, Never-married, Prof-specialty, Not-in-family, White, Female,1,0,0.625, United-States, >50K
0.6333333, Private,0.4218182, Bachelors,0.9285714, Married-civ-spouse, Exec-managerial, Husband, White, Male,0.3676512,0,0.5, United-States, >50K
0.4666667, Private,0.812792, Some-college,0.7142857, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,1, ?, >50K
0.2333333, State-gov,0.3631729, Bachelors,0.9285714, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,0, India, >50K
0, Private,0.3017071, Bachelors,0.9285714, Never-married, Adm-clerical, Own-child, White, Female,0,0,0.375, United-States, <=50K
0.3, Private,0.5690452, Assoc-acdm,0.8571429, Never-married, Sales, Not-in-family, Black, Male,0,0,0.625, United-States, <=50K
0.5666667, Private,0.3000917, Assoc-voc,0.7857143, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,0.5, ?, >50K
0.3666667, Private,0.6997887, 7th-8th,0.2857143, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo, Male,0,0,0.5625, Mexico, <=50K
0.06666667, Self-emp-not-inc,0.4777334, HS-grad,0, Never-married, Farming-fishing, Own-child, White, Male,0,0,0.4375, United-States, <=50K
0.3, Private,0.510261, HS-grad,0.6428571, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,0.5, ?, <=50K
0.5, Private,0, 11th,0.5, Married-civ-spouse, ?, Husband, White, Male,0,0,0.625, United-States, <=50K
0.6666667, Self-emp-not-inc,0.8506277, Masters,1, Divorced, Exec-managerial, Unmarried, White, Female,0,0,0.5625, United-States, >50K
